# RTL_ID 22011200
#
# Events:
#    N - no event
#    E - exception
#    I - interrupt
#    W - wakeup
# =====================================================================================
# : Core Reset
# =====================================================================================
# Test: illegal.hex
#           Time   Ev  Curr_PC    Instr      Next_PC    Reg        Value     
# =====================================================================================
               3   N   00000000   00000000   00001100   ---        --------
               6   N   00001100   0000e101   00001104   x10_a0     00000000
               7   N   00001104   00004e01   00001106   ---        --------
               8   N   00001106   0000b297   00001108   x28_t3     00000000
               9   N   00001108   af828293   0000110c   x05_t0     0000c108
              10   N   0000110c   30529073   00001110   x05_t0     0000bc00
              11   N   00001110   00004505   00001114   ---        --------
              12   N   00001114   0000057e   00001116   x10_a0     00000001
              13   N   00001116   00054863   00001118   x10_a0     80000000
              14   N   00001118   0ff0000f   00001128   ---        --------
              17   N   00001128   00028f63   0000112c   x05_t0     00000000
              18   N   0000112c   10529073   0000114a   ---        --------
              22   N   0000114a   00006509   0000114e   ---        --------
              23   N   0000114e   00006509   0000114e   ---        --------
              24   N   0000114e   80050513   00001150   x10_a0     00002000
              25   N   00001150   30052073   00001154   x10_a0     00001800
              26   N   00001154   00000297   00001158   ---        --------
              27   N   00001158   00000297   00001158   ---        --------
              28   N   00001158   0a828293   0000115c   x05_t0     00001158
              29   N   0000115c   34129073   00001160   x05_t0     00001200
              30   N   00001160   f1402573   00001164   ---        --------
              31   N   00001164   30200073   00001168   x10_a0     00000000
              33   N   00001168   00000000   00001200   ---        --------
              36   N   00001200   00000000   00001204   x28_t3     00000002
              37   E   00001204   00000000   0000bc00   mstatus    00001800
              37   E   00001204   00000000   0000bc00   mepc       00001204
              37   E   00001204   00000000   0000bc00   mcause     00000002
              37   E   00001204   00000000   0000bc00   mtval      00000000
              40   N   0000bc00   000047a1   0000bc04   x14_a4     00000002
              41   N   0000bc04   04f70263   0000bc06   x15_a5     00000008
              42   N   0000bc06   000047a5   0000bc0a   ---        --------
              43   N   0000bc0a   02f70f63   0000bc0c   x15_a5     00000009
              44   N   0000bc0c   000047ad   0000bc10   ---        --------
              45   N   0000bc10   02f70c63   0000bc12   x15_a5     0000000b
              46   N   0000bc12   47ad0837   0000bc16   ---        --------
              48   N   0000bc16   02f70897   0000bc1a   x16_a6     f0000000
              50   N   0000bc1a   f0008893   0000bc1e   x17_a7     0000bc1a
              52   N   0000bc1e   00008783   0000bc22   x17_a7     0000bb00
              55   N   0000bc22   0000c791   0000bc26   x15_a5     00000069
              56   N   0000bc26   00f82023   0000bc28   ---        --------
              58   N   0000bc28   00000885   0000bc2c   ---        --------
              59   N   0000bc2c   ff5ff06f   0000bc2e   x17_a7     0000bb01
              60   N   0000bc2e   08855717   0000bc22   ---        --------
              65   N   0000bc22   0000c791   0000bc26   x15_a5     0000006c
              66   N   0000bc26   00f82023   0000bc28   ---        --------
              68   N   0000bc28   00000885   0000bc2c   ---        --------
              69   N   0000bc2c   ff5ff06f   0000bc2e   x17_a7     0000bb02
              70   N   0000bc2e   08855717   0000bc22   ---        --------
              75   N   0000bc22   0000c791   0000bc26   x15_a5     0000006c
              76   N   0000bc26   00f82023   0000bc28   ---        --------
              78   N   0000bc28   00000885   0000bc2c   ---        --------
              79   N   0000bc2c   ff5ff06f   0000bc2e   x17_a7     0000bb03
              80   N   0000bc2e   08855717   0000bc22   ---        --------
              85   N   0000bc22   0000c791   0000bc26   x15_a5     0000005f
              86   N   0000bc26   00f82023   0000bc28   ---        --------
              88   N   0000bc28   00000885   0000bc2c   ---        --------
              89   N   0000bc2c   ff5ff06f   0000bc2e   x17_a7     0000bb04
              90   N   0000bc2e   08855717   0000bc22   ---        --------
              95   N   0000bc22   0000c791   0000bc26   x15_a5     00000069
              96   N   0000bc26   00f82023   0000bc28   ---        --------
              98   N   0000bc28   00000885   0000bc2c   ---        --------
              99   N   0000bc2c   ff5ff06f   0000bc2e   x17_a7     0000bb05
             100   N   0000bc2e   08855717   0000bc22   ---        --------
             105   N   0000bc22   0000c791   0000bc26   x15_a5     0000006e
             106   N   0000bc26   00f82023   0000bc28   ---        --------
             108   N   0000bc28   00000885   0000bc2c   ---        --------
             109   N   0000bc2c   ff5ff06f   0000bc2e   x17_a7     0000bb06
             110   N   0000bc2e   08855717   0000bc22   ---        --------
             115   N   0000bc22   0000c791   0000bc26   x15_a5     00000073
             116   N   0000bc26   00f82023   0000bc28   ---        --------
             118   N   0000bc28   00000885   0000bc2c   ---        --------
             119   N   0000bc2c   ff5ff06f   0000bc2e   x17_a7     0000bb07
             120   N   0000bc2e   08855717   0000bc22   ---        --------
             125   N   0000bc22   0000c791   0000bc26   x15_a5     00000074
             126   N   0000bc26   00f82023   0000bc28   ---        --------
             128   N   0000bc28   00000885   0000bc2c   ---        --------
             129   N   0000bc2c   ff5ff06f   0000bc2e   x17_a7     0000bb08
             130   N   0000bc2e   08855717   0000bc22   ---        --------
             135   N   0000bc22   0000c791   0000bc26   x15_a5     00000072
             136   N   0000bc26   00f82023   0000bc28   ---        --------
             138   N   0000bc28   00000885   0000bc2c   ---        --------
             139   N   0000bc2c   ff5ff06f   0000bc2e   x17_a7     0000bb09
             140   N   0000bc2e   08855717   0000bc22   ---        --------
             145   N   0000bc22   0000c791   0000bc26   x15_a5     0000000a
             146   N   0000bc26   00f82023   0000bc28   ---        --------
             148   N   0000bc28   00000885   0000bc2c   ---        --------
             149   N   0000bc2c   ff5ff06f   0000bc2e   x17_a7     0000bb0a
             150   N   0000bc2e   08855717   0000bc22   ---        --------
             155   N   0000bc22   0000c791   0000bc26   x15_a5     00000000
             156   N   0000bc26   00f82023   0000bc32   ---        --------
             160   N   0000bc32   20230713   0000bc36   x14_a4     00000c32
             162   N   0000bc36   0000c311   0000bc3a   x14_a4     00001400
             163   N   0000bc3a   00008702   0000bc3c   ---        --------
             164   N   0000bc3c   34202773   00001400   ---        --------
             167   N   00001400   e55ff06f   00001440   ---        --------
             170   N   00001440   342022f3   00001444   x06_t1     00000002
             171   N   00001444   ea629ae3   00001448   x05_t0     00000002
             172   N   00001448   341022f3   0000144c   ---        --------
             173   N   0000144c   343023f3   00001450   x05_t0     00001204
             174   N   00001450   00038e63   00001454   x07_t2     00000000
             175   N   00001454   0002d303   00001470   ---        --------
             178   N   00001470   d9430313   00001474   x06_t1     00001470
             179   N   00001474   04628e63   00001478   x06_t1     00001204
             180   N   00001478   00000317   000014d4   ---        --------
             183   N   000014d4   34129073   000014d8   x05_t0     0000120c
             184   N   000014d8   30200073   000014dc   ---        --------
             186   N   000014dc   00200337   0000120c   ---        --------
             189   N   0000120c   80028293   00001210   x05_t0     00002000
             190   N   00001210   3002b073   00001214   x05_t0     00001800
             191   N   00001214   00001337   00001218   ---        --------
             192   N   00001218   00001337   00001218   ---        --------
             193   N   00001218   80030313   0000121c   x06_t1     00001000
             194   N   0000121c   30032073   00001220   x06_t1     00000800
             195   N   00001220   300023f3   00001224   ---        --------
             196   N   00001224   300023f3   00001224   ---        --------
             197   N   00001224   0053f3b3   00001228   x07_t2     00001880
             198   N   00001228   0e731063   0000122c   x07_t2     00001800
             199   N   0000122c   34415073   0000130c   ---        --------
             202   N   0000130c   000e0593   00001310   ---        --------
             203   N   00001310   00000513   00001314   x11_a1     00000002
             204   N   00001314   00000073   00001318   x10_a0     00000000
             205   E   00001318   00000013   0000bc00   mstatus    00001800
             205   E   00001318   00000013   0000bc00   mepc       00001318
             205   E   00001318   00000013   0000bc00   mcause     0000000b
             205   E   00001318   00000013   0000bc00   mtval      00000000
             208   N   0000bc00   000047a1   0000bc04   x14_a4     0000000b
             209   N   0000bc04   04f70263   0000bc06   x15_a5     00000008
             210   N   0000bc06   000047a5   0000bc0a   ---        --------
             211   N   0000bc0a   02f70f63   0000bc0c   x15_a5     00000009
             212   N   0000bc0c   000047ad   0000bc10   ---        --------
             213   N   0000bc10   02f70c63   0000bc12   x15_a5     0000000b
             214   N   0000bc12   47ad0837   0000bc4a   ---        --------
             218   N   0000bc4a   08370013   00001600   ---        --------
             221   N   00001600   40028293   00001604   x05_t0     0000b600
             222   N   00001604   00008282   00001608   x05_t0     0000ba00
             223   N   00001608   00000013   0000ba00   ---        --------
